,Word,wcount
68,beach,274
436,km,151
849,tourist,126
910,water,99
46,attraction,64
93,boat,63
694,sand,63
820,swimming,60
230,distance,58
11,activity,56
893,village,52
866,tree,50
851,town,49
706,sea,49
890,view,46
414,island,45
303,fishing,44
655,region,41
569,palm,35
772,sport,33
793,stretch,33
162,coconut,32
773,spot,32
672,ride,31
748,site,28
733,shore,28
37,area,27
740,side,26
831,temple,25
377,hill,24
809,sunset,24
934,year,24
84,bird,23
575,part,23
889,vicinity,23
843,time,22
592,picnic,20
861,traveller,20
235,diving,20
221,destination,20
542,north,20
635,proximity,19
544,number,19
812,surfing,19
112,bus,18
665,resort,18
679,rock,18
294,ferry,18
675,river,17
302,fisherman,16
517,month,16
808,sunrise,16
160,coast,16
750,skiing,15
813,surroundings,15
767,specie,15
154,city,15
826,taxi,15
389,house,15
913,wave,15
912,watersports,14
259,end,14
237,dolphin,14
383,home,14
754,snorkelling,14
533,name,14
704,scuba,14
463,lighthouse,14
283,facility,13
440,lake,13
620,port,13
8,accommodation,13
161,coastline,13
572,park,13
804,sun,13
583,people,13
321,fort,13
318,forest,12
348,grove,12
173,confluence,12
667,restaurant,12
301,fish,12
671,rickshaw,12
48,auto,11
212,day,11
142,century,11
314,food,11
141,centre,11
17,adventure,11
59,bank,11
722,shack,11
459,life,10
605,plantation,10
903,walk,10
443,land,10
870,trip,10
883,variety,10
386,hotel,10
431,kilometre,10
199,cruise,9
686,ruin,9
429,kayaking,9
359,handicraft,9
897,visitor,9
156,cliff,9
554,opportunity,9
762,south,9
885,vegetation,9
439,lagoon,9
727,ship,9
807,sunbathing,9
491,market,9
708,seafood,9
152,church,8
778,stall,8
781,station,8
780,state,8
914,way,8
741,sight,8
725,shell,8
909,watching,8
847,top,8
137,cave,8
60,bar,8
297,festival,8
712,seashore,8
479,m,8
873,turtle,8
396,hut,7
723,shape,7
346,group,7
786,stone,7
180,cottage,7
388,hour,7
378,hillock,7
718,service,7
844,tip,7
281,extension,7
50,backwater,7
613,point,7
692,sailing,7
74,beauty,7
98,border,7
512,minute,7
44,atmosphere,7
104,bridge,7
578,path,7
677,road,6
324,freshwater,6
930,world,6
23,airport,6
486,mango,6
840,tide,6
714,season,6
734,shoreline,6
888,vessel,6
919,west,6
13,addition,6
200,crystal,6
58,banana,6
361,harbour,6
925,windsurfing,6
169,community,6
536,nature,6
121,camping,6
315,foot,6
782,statue,6
854,trading,6
850,tower,6
270,estuary,6
917,week,6
419,jet,6
132,casuarina,6
472,location,6
518,monument,5
522,motor,5
282,face,5
340,government,5
299,film,5
286,family,5
540,night,5
331,gateway,5
382,holiday,5
564,oyster,5
687,rule,5
506,middle,5
158,clothes,5
645,railway,5
555,option,5
272,event,5
476,lover,5
271,evening,5
291,fee,5
106,building,5
557,order,5
471,local,5
151,child,5
581,pearl,5
918,weekend,4
924,wind,4
256,elevation,4
797,structure,4
21,air,4
224,devotee,4
250,east,4
305,flea,4
761,source,4
232,district,4
262,enthusiast,4
354,habitat,4
181,country,4
421,jewellery,4
612,pm,4
721,settlement,4
453,leisure,4
475,lot,4
164,collection,4
170,complex,4
483,maker,4
731,shop,4
775,spring,4
493,massage,4
240,drink,4
626,presence,4
835,terrain,4
508,mile,4
67,bay,4
192,creek,4
298,field,4
745,significance,4
263,entrance,4
374,highlight,4
75,bed,4
609,plenty,3
633,property,3
774,spotting,3
768,speed,3
616,pool,3
606,platform,3
582,pedal,3
604,plant,3
432,kind,3
576,party,3
738,shrine,3
384,honeymoon,3
505,metre,3
487,mangrove,3
400,idol,3
688,ruler,3
403,importance,3
693,salt,3
457,level,3
700,scooter,3
454,length,3
416,item,3
452,legend,3
420,jetty,3
450,lava,3
423,joint,3
381,history,3
670,retreat,3
320,formation,3
365,headland,3
639,purpose,3
566,paddy,3
644,railhead,3
763,southernmost,3
327,fruit,3
332,getaway,3
333,glass,3
652,reef,3
549,ocean,3
548,occupation,3
349,guest,3
751,slope,3
785,step,3
356,hamlet,3
358,hand,3
524,mountain,3
308,flora,3
77,belief,3
28,ambience,3
32,angling,3
278,experience,3
177,coral,3
867,trekking,3
242,drive,3
916,weather,3
36,architecture,3
236,division,3
900,volleyball,3
57,bamboo,3
811,surf,3
189,crab,3
814,suru,3
115,butterfly,3
62,base,3
833,tent,3
896,visit,3
110,bungalow,3
217,delta,3
70,beachside,3
892,villa,3
211,dance,3
202,cuisine,3
31,amusement,3
838,thing,3
865,treatment,3
794,strip,3
268,era,3
9,acre,3
5,abundance,3
848,tourism,3
159,club,3
128,car,3
799,style,3
490,mark,2
94,boating,2
684,row,2
418,jack,2
425,jungle,2
691,sail,2
875,type,2
473,lodge,2
716,seeker,2
689,sacrifice,2
489,maritime,2
478,luxury,2
140,cemetery,2
111,bunker,2
481,machine,2
482,mainland,2
855,train,2
99,bottom,2
102,box,2
114,business,2
465,line,2
705,sculpture,2
444,language,2
864,treasure,2
442,lamp,2
702,scooting,2
130,cashew,2
434,kingdom,2
122,canal,2
683,route,2
433,king,2
868,tributary,2
869,trinket,2
117,cabin,2
871,tsunami,2
134,catch,2
859,transportation,2
858,transport,2
458,library,2
713,seaside,2
139,celebration,2
92,board,2
784,steel,2
495,matter,2
631,project,2
33,animal,2
641,quality,2
571,parasailing,2
29,amenity,2
637,public,2
636,pub,2
921,width,2
18,affair,2
586,period,2
926,wine,2
588,permit,2
927,winter,2
563,outskirt,2
627,present,2
598,pillar,2
624,practice,2
623,power,2
621,portion,2
929,work,2
7,access,2
607,play,2
619,population,2
610,plethora,2
618,popularity,2
568,palace,2
646,range,2
681,room,2
521,mosque,2
678,roadway,2
504,metal,2
86,birdwatching,2
85,birdwatchers,2
81,beverage,2
510,mind,2
79,bench,2
148,charm,2
894,villager,2
71,beacon,2
520,morning,2
66,bathing,2
907,warrior,2
525,mouth,2
527,mud,2
660,remains,2
535,native,2
538,net,2
657,reign,2
899,volcano,2
541,nightlife,2
546,observation,2
904,walking,2
653,refreshing,2
147,channel,2
125,canoeing,2
615,pony,2
257,emerald,2
248,eagle,2
800,sub,2
251,eatery,2
229,dish,2
798,struggle,2
752,snack,2
853,trade,2
343,greenery,2
187,cove,2
319,form,2
345,ground,2
385,horse,2
183,couple,2
776,sq,2
832,tennis,2
195,crocodile,2
323,freedom,2
372,heron,2
335,glimpse,2
246,dune,2
309,flower,2
370,help,2
742,sightseeing,2
366,headquarters,2
823,taluka,2
803,summer,2
810,supply,2
364,head,2
827,tea,2
825,target,2
205,current,2
753,snorkeling,2
792,street,2
391,housing,2
226,dip,2
720,setting,2
411,invasion,2
218,demon,2
277,expanse,2
410,interval,2
409,interest,2
157,clock,2
163,coffee,2
392,hub,2
166,colour,2
783,stay,2
402,import,2
789,storm,2
284,fact,2
289,fauna,2
779,stand,2
216,delicacy,2
394,hundred,2
228,discotheque,2
265,environment,2
791,stream,2
357,hammock,2
267,equipment,2
729,shoe,2
328,ft,2
901,vu,1
815,survey,1
659,relaxation,1
647,rathas,1
656,"region.,ferries",1
648,ray,1
760,sound,1
908,watcher,1
649,reach,1
906,warning,1
816,swamp,1
902,waist,1
764,souvenir,1
654,regime,1
651,red,1
905,wall,1
658,relation,1
765,space,1
650,recreation,1
801,suburb,1
911,waterfront,1
622,posture,1
630,production,1
629,product,1
628,price,1
777,stair,1
928,woman,1
625,prawn,1
790,story,1
795,stroll,1
788,storehouse,1
931,worship,1
787,storage,1
932,yachting,1
933,yard,1
617,poovar,1
632,promontory,1
796,stronghold,1
806,sunbathe,1
769,speedboat,1
766,speciality,1
915,wear,1
643,race,1
805,sunbath,1
642,queen,1
802,sulphur,1
770,spell,1
634,protest,1
771,splendour,1
640,"purposes.,it",1
638,pulp,1
920,wetland,1
922,wife,1
923,wildlife,1
898,vodka,1
719,set,1
661,reminiscence,1
732,shopping,1
841,tiger,1
839,thousand,1
837,thereon,1
701,scootering,1
836,territory,1
735,show,1
736,showpiece,1
699,science,1
698,school,1
697,scene,1
834,terminal,1
696,satellite,1
737,shrike,1
695,sandy,1
872,tuna,1
739,shuru,1
874,tv,1
703,scope,1
707,seabed,1
690,safety,1
842,timber,1
852,township,1
856,trainer,1
857,training,1
717,semi,1
715,seawater,1
724,shark,1
726,shift,1
860,traveler,1
846,today,1
728,shipbuilding,1
711,seashell,1
862,traverse,1
710,seagull,1
709,seafront,1
863,traversing,1
730,shooting,1
845,tobacco,1
830,tee,1
876,umbrella,1
662,reminiscent,1
822,taboo,1
674,rise,1
821,synagogue,1
673,riding,1
819,swimmer,1
818,swim,1
891,vigil,1
817,swarm,1
668,resting,1
755,softness,1
895,viper,1
666,rest,1
756,soil,1
757,solitude,1
758,son,1
759,soul,1
664,request,1
663,remnant,1
749,size,1
887,vendor,1
877,undercurrent,1
676,riverside,1
829,teardrop,1
878,undertaking,1
743,sign,1
879,unit,1
828,team,1
880,urchin,1
881,vacation,1
882,vantage,1
685,rowing,1
744,signal,1
746,silk,1
682,round,1
824,tank,1
680,roof,1
884,vegetable,1
747,sit,1
886,vehicle,1
669,result,1
0,1930s,1
614,pollution,1
203,culture,1
191,cream,1
193,cricket,1
194,crochet,1
196,cross,1
197,crow,1
198,crude,1
201,cucumber,1
204,cure,1
188,cover,1
206,curry,1
207,cycle,1
208,cypress,1
209,cyprus,1
210,dam,1
213,debris,1
214,deer,1
190,craft,1
186,court,1
219,deposit,1
171,concrete,1
149,chat,1
150,chikoo,1
153,citadel,1
155,cleaning,1
165,colonial,1
167,column,1
168,combing,1
172,condition,1
185,course,1
174,conservation,1
175,construction,1
176,convenience,1
178,corbyn,1
179,corner,1
182,county,1
184,"couples.,summer",1
215,deity,1
220,depth,1
145,chamber,1
276,exhibition,1
261,entertainment,1
264,entry,1
266,epigraph,1
269,estuarine,1
273,evidence,1
274,example,1
275,excursion,1
279,explorer,1
258,emporium,1
280,export,1
285,factory,1
287,fan,1
288,farming,1
290,feast,1
292,feeling,1
293,fence,1
260,enhance,1
255,edge,1
222,detachment,1
239,dove,1
223,devastation,1
225,dharamshalas,1
227,direction,1
231,distributary,1
233,diver,1
234,diversity,1
238,dome,1
241,drinking,1
254,ecotourism,1
243,drongos,1
244,drum,1
245,dugout,1
247,dusk,1
249,earthquake,1
252,eco,1
253,ecosystem,1
146,change,1
144,chair,1
611,plover,1
49,"away.,evenings",1
39,army,1
40,arrow,1
41,art,1
42,article,1
43,assemblage,1
45,attract,1
47,auditorium,1
51,bacteria,1
35,arambol,1
52,baffle,1
53,bag,1
54,bakery,1
55,balcony,1
56,ball,1
61,barbecue,1
63,basking,1
38,areca,1
34,apartment,1
65,bath,1
15,admission,1
2,60,1
3,70,1
4,ablution,1
6,academy,1
10,act,1
12,ad,1
14,administration,1
16,advent,1
30,ammonia,1
19,age,1
20,aid,1
22,airplane,1
24,airway,1
25,allure,1
26,altar,1
27,altitude,1
64,bastion,1
69,"beach.,once",1
143,chaat,1
124,canoe,1
109,bundle,1
113,bush,1
116,buyer,1
118,cafe,1
119,calicut,1
120,camel,1
123,canning,1
126,canopy,1
107,bulbul,1
127,cantilever,1
129,cargo,1
131,castle,1
133,catamaran,1
135,catcher,1
136,cavaborus,1
138,ceiling,1
108,bump,1
105,budget,1
72,beam,1
88,bit,1
73,beat,1
76,beer,1
78,bell,1
80,betel,1
82,bike,1
83,biking,1
87,birth,1
89,blackish,1
103,brass,1
90,blanket,1
91,blend,1
95,body,1
96,bonfire,1
97,bonnet,1
100,boulder,1
101,bowl,1
295,fertilizer,1
296,fervour,1
300,fine,1
519,moon,1
507,midst,1
509,million,1
511,mingling,1
513,money,1
514,monitor,1
515,monkey,1
516,monsoon,1
523,motorcycle,1
502,mention,1
526,movement,1
528,municipality,1
529,museum,1
530,mussel,1
531,mutt,1
532,mythology,1
534,naming,1
503,merchant,1
501,memorial,1
539,network,1
484,man,1
1,1960s,1
468,livelihood,1
469,lizard,1
470,lobster,1
474,lord,1
477,lure,1
480,m.,1
485,manganese,1
500,meeting,1
488,marine,1
492,masonry,1
494,mast,1
496,mazhar,1
497,meal,1
498,medium,1
499,meet,1
537,need,1
543,notice,1
304,flashing,1
595,pilgrim,1
585,performance,1
587,permission,1
589,personnel,1
590,petrol,1
591,pheasant,1
593,picture,1
594,pier,1
596,pilgrimage,1
580,peace,1
597,pill,1
599,pine,1
600,pirate,1
601,pisciculture,1
602,place,1
603,planning,1
608,pleasure,1
584,perfection,1
579,pathway,1
545,nut,1
559,ornithologist,1
547,occasion,1
550,office,1
551,officer,1
552,one,1
553,operation,1
556,orchard,1
558,originates,1
560,out,1
577,passage,1
561,outboard,1
562,outcropping,1
565,paddle,1
567,paint,1
570,paradise,1
573,parking,1
574,parlor,1
466,list,1
464,limestone,1
462,light,1
360,harbor,1
344,groove,1
347,grouper,1
350,guide,1
351,guitar,1
352,gull,1
353,gym,1
355,habitation,1
362,harvest,1
341,governor,1
363,hassle,1
367,health,1
368,hectare,1
369,height,1
371,herb,1
373,hetal,1
375,highway,1
342,gradient,1
339,gorge,1
461,lifestyle,1
317,foreigner,1
306,flight,1
307,flock,1
310,flyer,1
311,fog,1
312,foliage,1
313,folk,1
316,foothill,1
322,fraction,1
338,gora,1
325,friend,1
326,front,1
329,fun,1
330,garment,1
334,gliding,1
336,globe,1
337,glory,1
376,hike,1
379,hippie,1
380,hippy,1
445,lantern,1
427,kankru,1
428,katee,1
430,killing,1
435,kite,1
437,konda,1
438,ladder,1
441,lakecomprises,1
446,lashing,1
387,hotspot,1
447,lattice,1
448,launch,1
449,laundry,1
451,lawyer,1
455,leper,1
456,letter,1
460,lifeguard,1
426,kadavu,1
424,journey,1
422,jogging,1
417,j,1
390,houseboat,1
393,hue,1
395,hunting,1
397,ibis,1
398,ice,1
399,ideal,1
401,immersion,1
404,industry,1
405,influence,1
406,infrastructure,1
407,inhabitant,1
408,instrument,1
412,iron,1
413,irrigation,1
415,islet,1
467,literature,1
